Nome,total (1000 pessoas),Nível de ocupação das pessoas de 14 anos de idade ou mais (%),Taxa de desocupação das pessoas de 14 anos de idade ou mais (%),"Proporção de pessoas com rendimento domiciliar per capita abaixo de US$ 6,85 PPC 2017 (%)",Proporção de pessoas vivendo em domicílios com esgotamento por rede coletora ou pluvial (%),Proporção de pessoas vivendo em domicílios com máquina de lavar roupa (%),Proporção de pessoas vivendo em domicílios com acesso à Internet (%),"Proporção de pessoas de 18 a 29 anos de idade com no mínimo 12 anos de
estudo (%)",Ano
Brasil,215602.31700779404,57.60000476005854,7.755963501666682,27.366993274864907,67.92039221943573,70.77795837046838,92.94362515927207,73.11031823866665,2023
Porto-Velho,566.7330001909899,52.02417569418901,4.372143653023268,27.94910741815274,48.30116199520406,88.5346007982474,95.37977141060719,73.98376907615774,2023
Vilhena,433.3609988740218,52.8828352415362,1.6543236439310902,22.61541324755689,43.37151538326815,92.96137882592292,94.61531769254749,63.47319680867211,2023
Ariquemes/Ji-Paraná,840.4720012313962,58.44391801915674,3.076056449798509,22.957234626267212,8.295497085461433,67.1249325522484,94.40341373949128,65.48524967822026,2023
Rio Branco,431.32000001068195,50.00503111014565,9.346128568126982,43.452909844991744,81.10653619897862,78.54075256579769,91.87082557263622,72.89320225248406,2023
Acre exceto Rio Branco,482.37800001218164,41.788508058354125,5.258573838577029,58.69160902198103,13.264885122977086,47.67723012086016,73.71243873641474,59.02234557242526,2023
Manaus,2327.0470000548844,56.156682332283204,11.661480296007712,33.00228582568651,75.42168618362638,83.21298853480857,96.2041389439792,79.46186798050859,2023
Entorno metropolitano de Manaus,387.53800000478043,49.274216589216,3.639882847396726,62.349479071231514,19.173939212909048,73.31154563802376,81.81309139452361,65.68012058788372,2023
Vale do Rio Madeira/Nhamunda,544.5588238250214,54.42794509093179,9.02390750679399,54.17842272485345,6.213694314251465,34.512559002455866,71.60370020557619,67.52327433516133,2023
Vale do Rio Juruá e Rio Negro,584.0339662986585,57.43034459309616,8.379435622412439,62.32630260920056,1.2867467461484907,39.033570322661916,76.54961184762253,56.84689310519293,2023
Vale do Rio Purus,377.5642099304006,51.32879049065448,6.778105842615677,66.61304166493767,13.551710667685372,34.115186901786615,74.56062071431877,59.926884652101606,2023
Boa Vista,435.29300000806234,61.44147068314013,7.204796007275609,31.539938182553787,65.68031988339713,69.7179178722035,95.47577723202602,78.74868452897826,2023
Roraima exceto Boa Vista,174.66300001601007,50.319616228278946,4.368307814949158,45.28514670306914,29.21993552580789,65.00525029403633,84.0242992156196,68.43397770783814,2023
Belem,1519.612000033561,59.38347445366901,9.769531714377896,21.239382165899958,52.923680483483516,61.332659063644705,96.04132145077469,76.42742662190258,2023
Entorno metropolitano de Belém,853.9320000151403,56.36539739300187,13.719974347796587,32.21970411546493,29.11651801561856,46.91780888833599,96.27424865669103,74.22717967227987,2023
Foz do Rio Amazonas,3009.987248130434,50.414575365325824,6.611143544478876,54.35650091579857,4.779349434555654,24.113238774194457,81.47445051937663,54.701499203614695,2023
Sudeste Paraense,1985.742584514009,64.71525981041785,5.522282711990458,27.43147499615195,19.605453709092522,46.45810567827888,92.62382134859563,59.829733003530755,2023
Baixo do Rio Amazonas,1533.0281675601461,53.96410691251183,6.537472849306101,46.62067698036808,18.702553852514903,44.29649320343122,83.75153876770112,60.908958346207704,2023
Macapá,540.9060010231385,59.53937712570351,6.6657399881625095,21.26572756797512,33.61516582253097,88.72849392412785,97.52583162321814,76.3599642215747,2023
